artist	title
Taylor Swift / Colbie Caillat	Breathe
Sheena Easton	Strut (1993 Digital Remaster)
Duran Duran	The Wild Boys
Stars	What I'm Trying To Say
Fall Out Boy	Dance_ Dance
Frankie Goes To Hollywood	Relax
Ron Van Den Beuken	Timeless
Plastic Boy	Silver Bath
Creedence Clearwater Revival	Have You Ever Seen The Rain
Creedence Clearwater Revival	Fortunate Son
Linkin Park	New Divide (Album Version)
Creedence Clearwater Revival	Proud Mary
Johan Gielen	Flash
Simon Patterson	Thump
Lit	Happy In The Meantime
Naked Eyes	Always Something There To Remind Me
Deana Carter	She's Good For You
Afromental	Bootycall
Theory Of A Deadman	Bad Girlfriend [Explicit]
Jason Mraz	Live High (Album Version)
The Lonely Island	Like A Boss
The Gerbils	(iii)
Jolie Holland	The Grey Funnel Line
The Lonely Island / Natalie Portman / Chris Parnell	Natalie's Rap
Kix	Girl Money
Cyndi Lauper	Girls Just Want To Have Fun
Sonny Boy Williamson	Don't Start Me Talkin'
Nickelback	Someday
3 Doors Down	It's Not My Time
Sugar Ray feat. Super Cat	Fly (Remastered LP Version)
The Temper Trap	Down River
Kings Of Leon	Trunk
Kings Of Leon	I Want You
Soltero	From The Station
Kings Of Leon	McFearless
Billy Currington	Good Directions
Fleet Foxes	Sun It Rises
Kings Of Leon	Be Somebody
Kyle Cease	Generation Nintendo
Dave Grusin	St. Elsewhere
Iron And Wine	House By the Sea (Album)
Ke$ha	Dancing With Tears In My Eyes
Miguel Calo	El Cuatrero
Paul Jackson Jr.	P.J. III
Milczenie Owiec	CIEÑ
Cosmic Gate feat. Aruna	Under Your Spell
Florence + The Machine	Bird Song
Old Crow Medicine Show	Down Home Girl
Mike And The Mechanics	A Beggar On A Beach Of Gold
Trapt	Contagious
Red Hot Chili Peppers	Hard To Concentrate (Album Version)
Kid Cudi / Billy Craven	My World
Red Hot Chili Peppers	Fortune Faded (Album Version)
The Police	Every Little Thing She Does Is Magic
Eminem / Dr. Dre	Say What You Say
Alejandro Sanz	Non E_ Per Te_ Per Me
Boys Like Girls featuring Taylor Swift	Two Is Better Than One
Creedence Clearwater Revival	I Put A Spell On You
Skillet	Monster (Album Version)
Taylor Swift	The Best Day
Lil Wayne / Bobby Valentino / Kidd Kidd	Mrs. Officer
Usher	Nice & Slow
Michael Bublé	For Once In My Life (Album Version)
Edwyn Collins	Superstar Talking Blues
dEUS	Secret Hell
Jack Johnson	Posters
Starflyer 59	When You Feel The Mess
The Wallflowers	One Headlight
Staind	Epiphany (LP Version)
Tears For Fears	Sowing The Seeds Of Love
Nada Surf	In The Mirror
50 Cent	P.I.M.P.
Rise Against	The Good Left Undone
Rihanna / will.i.am	Photographs
Twista feat. Kayne West & Jamie Foxx	Slow Jamz (Feat. Kanye West & Jamie Foxx) (Edited Album Version)
Yung Joc	Picture Perfect [Explicit Album Version]
Rihanna	Stupid In Love
The Kooks	Naive
Darude	Sandstorm
The Pussycat Dolls	I'm Done
Jack Johnson	Never Know
Lupe Fiasco feat. Matthew Santos	Fighters (feat. Matthew Santos) (Amended Album Version)
O'Rosko Raricim	Terre Promise
Jack Johnson	Breakdown
Justin Bieber	Up
LMFAO / Lil Jon	Shots
Justin Bieber / Jessica Jarrell	Overboard
Alien Ant Farm	Smooth Criminal
Flogging Molly	Drunken Lullabies
Lucas Masciano	Besos
Aerosmith	Dream On
the bird and the bee	Diamond Dave
Red Hot Chili Peppers	She Looks To Me (Album Version)
The Boxmasters	Heartbreakin' Wreck
Chris Bathgate	Coda
Brant Bjork	Searchin'
Linkin Park	Given Up (Album Version)
Stone Temple Pilots	Plush (LP Version)
The Kills	Wait
Air France	Karibien
Rihanna	Fire Bomb
Olé Olé	Con sólo una mirada
The Shins	A Comet Appears (Album)
Boom Bip	From Left To Right
